Day_Count,Day,StoreID,ProductName,Product_Calorie,Promo_applied,specials,mods,Amt,weather,Inflation_Percentage,Unemployment_Percentage
1,Tuesday,S001,VBurger,625,,No,No,13125.0,cold,4.7,1.7
2,Wednesday,S001,VBurger,625,,No,No,9000.0,hot,4.7,1.7
3,Thursday,S001,VBurger,625,,No,No,11000.0,cold,4.7,1.7
4,Friday,S001,VBurger,625,,No,No,13750.0,hot,4.7,1.7
5,Saturday,S001,VBurger,625,1,No,No,13612.5,hot,4.7,1.7
6,Sunday,S001,VBurger,625,1,No,No,12825.0,hot,4.7,1.7
7,Monday,S001,VBurger,625,1,No,No,8775.0,rainy,4.7,1.7
8,Tuesday,S001,VBurger,625,1,No,No,8662.5,very hot,4.7,1.7
9,Wednesday,S001,VBurger,625,1,No,No,10237.5,humid,4.7,1.7
10,Thursday,S001,VBurger,625,1,No,No,10687.5,rainy,4.7,1.7
11,Friday,S001,VBurger,625,1,No,No,13725.0,hot,4.7,1.7
12,Saturday,S001,VBurger,625,1,No,No,13050.0,hot,4.7,1.7
13,Sunday,S001,VBurger,625,1,No,No,12487.5,very hot,4.7,1.7
14,Monday,S001,VBurger,625,1,No,No,10012.5,cold,4.7,1.7
15,Tuesday,S001,VBurger,625,1,No,No,9337.5,very hot,4.7,1.7
16,Wednesday,S001,VBurger,625,1,No,No,9787.5,very hot,4.7,1.7
17,Thursday,S001,VBurger,625,1,No,No,10575.0,hot,4.7,1.7
18,Friday,S001,VBurger,625,1,No,No,12825.0,very hot,3.0,1.9
19,Saturday,S001,VBurger,625,1,No,No,12262.5,very hot,3.0,1.9
20,Sunday,S001,VBurger,625,1,No,No,24862.5,very hot,3.0,1.9
21,Monday,S001,VBurger,625,1,No,No,9450.0,very hot,3.0,1.9
22,Tuesday,S001,VBurger,625,1,No,No,9337.5,very hot,3.0,1.9
23,Wednesday,S001,VBurger,625,1,No,No,9900.0,hot,3.0,1.9
24,Thursday,S001,VBurger,625,1,No,No,9900.0,humid,3.0,1.9
25,Friday,S001,VBurger,625,1,No,No,12712.5,very hot,3.0,1.9
26,Saturday,S001,VBurger,625,,No,No,13000.0,very hot,3.0,1.9
27,Sunday,S001,VBurger,625,,No,No,14125.0,cold,3.0,1.9
28,Monday,S001,VBurger,625,,No,No,8875.0,very hot,3.0,1.9
29,Tuesday,S001,VBurger,625,,No,No,10375.0,cold,3.0,1.9
30,Wednesday,S001,VBurger,625,,No,No,9750.0,very hot,3.0,1.9
31,Thursday,S001,VBurger,625,,No,No,10750.0,hot,3.0,1.9
32,Friday,S001,VBurger,625,,No,No,12875.0,very hot,3.0,1.9
33,Saturday,S001,VBurger,625,,No,No,13125.0,hot,3.0,1.9
34,Sunday,S001,VBurger,625,,No,No,13500.0,cold,3.0,1.9
35,Monday,S001,VBurger,625,,No,No,10250.0,cold,3.0,1.9
36,Tuesday,S001,VBurger,625,,No,No,9875.0,very cold,3.0,1.9
37,Wednesday,S001,VBurger,625,,No,No,10375.0,hot,3.0,1.9
38,Thursday,S001,VBurger,625,,No,No,10875.0,hot,3.0,1.9
39,Friday,S001,VBurger,625,,No,No,13875.0,hot,3.0,1.9
40,Saturday,S001,VBurger,625,,No,No,13250.0,very hot,3.0,1.9
41,Sunday,S001,VBurger,625,,No,No,13000.0,hot,3.0,1.9
42,Monday,S001,VBurger,625,,No,No,9875.0,cold,3.0,1.9
43,Tuesday,S001,VBurger,625,,No,No,9750.0,hot,3.0,1.9
44,Wednesday,S001,VBurger,625,,No,No,10500.0,hot,3.0,1.9
45,Thursday,S001,VBurger,625,,No,No,9625.0,very hot,3.0,1.9
46,Friday,S001,VBurger,625,,No,No,13875.0,humid,3.0,1.9
47,Saturday,S001,VBurger,625,,No,No,13500.0,hot,3.0,1.9
48,Sunday,S001,VBurger,625,,No,No,12500.0,very hot,3.0,1.9
49,Monday,S001,VBurger,625,,No,No,9500.0,rainy,3.0,1.9
50,Tuesday,S001,VBurger,625,,No,No,9500.0,very hot,3.0,1.9
51,Wednesday,S001,VBurger,625,,No,No,10250.0,hot,3.0,1.9
52,Thursday,S001,VBurger,625,,No,No,10250.0,very hot,3.0,1.9
53,Friday,S001,VBurger,625,,No,No,12875.0,very hot,3.0,1.9
54,Saturday,S001,VBurger,625,,No,No,14125.0,cold,3.0,1.9
55,Sunday,S001,VBurger,625,,No,No,13250.0,hot,3.0,1.9
56,Monday,S001,VBurger,625,,No,No,10125.0,cold,3.0,1.9
57,Tuesday,S001,VBurger,625,,No,No,9750.0,hot,3.0,1.9
58,Wednesday,S001,VBurger,625,,No,No,10250.0,humid,3.0,1.9
59,Thursday,S001,VBurger,625,,No,No,11000.0,cold,3.0,1.9
60,Friday,S001,VBurger,625,,No,No,14000.0,very cold,3.0,1.9
61,Saturday,S001,VBurger,625,,No,No,14000.0,cold,3.0,1.9
62,Sunday,S001,VBurger,625,,No,No,13375.0,cold,3.0,1.9
63,Monday,S001,VBurger,625,,No,No,9375.0,very hot,3.0,1.9
64,Tuesday,S001,VBurger,625,,No,No,9250.0,very hot,3.0,1.9
